"order_id","order_date","customer_id","sales"
"US-2017-160836","2017-09-11","CC-12475","524.0180000000001"
"CA-2017-127712","2017-08-31","MG-17890","6.208"
"CA-2014-107811","2014-04-29","LA-16780","661.5039999999999"
"CA-2016-146143","2016-12-14","MC-17845","133.38"
"CA-2015-131856","2015-05-12","JG-15160","769.024"
"CA-2017-142909","2017-12-22","AG-10330","182.55"
"CA-2016-143441","2016-11-05","EB-14170","11.84"
"US-2017-118941","2017-08-12","BB-11545","2017.3200000000002"
"CA-2017-118668","2017-01-02","FW-14395","16.59"
"CA-2017-102197","2017-12-20","DK-13150","364.27199999999993"
"CA-2016-153598","2016-12-03","NM-18520","1761.8500000000001"
"CA-2015-112053","2015-10-11","SH-20395","31.95"
"US-2017-128118","2017-11-24","MY-17380","76.521"
"CA-2017-101637","2017-03-24","AC-10615","12.768"
"CA-2014-156244","2014-08-12","DH-13675","457.744"
"CA-2017-162481","2017-09-25","CT-11995","278.23"
"US-2017-169320","2017-07-23","LH-16900","171.43"
"CA-2016-166485","2016-02-20","AH-10210","16.496"
"CA-2016-142405","2016-06-11","SE-20110","458.574"
"CA-2016-139234","2016-05-06","AF-10870","29.384"
"CA-2015-137071","2015-12-20","ED-13885","100.8"
"CA-2016-169957","2016-09-26","SN-20710","366.78"
"CA-2015-154746","2015-11-14","PJ-18835","860.07"
"CA-2017-115994","2017-01-28","BT-11305","277.71"
"CA-2017-160087","2017-03-18","EN-13780","23.832"
"US-2014-149034","2014-11-19","RD-19900","47.496"
"CA-2016-165673","2016-05-15","MN-17935","15.232"
"CA-2015-156146","2015-10-26","AG-10495","174.304"
"CA-2014-116568","2014-12-14","BM-11785","186.304"
"CA-2015-146255","2015-03-07","EM-14140","807.54"
"CA-2015-151680","2015-11-19","TC-21475","141.96"
"CA-2017-100524","2017-03-31","CM-12115","782.4"
"CA-2017-152499","2017-01-22","EH-13765","22.991999999999997"
"CA-2017-132199","2017-05-03","BO-11350","504.50600000000003"
"CA-2016-129728","2016-05-30","JG-15310","167.84"
"CA-2017-101581","2017-10-22","DW-13195","177.225"
"CA-2017-107517","2017-02-05","FC-14335","2011.9"
"CA-2014-168823","2014-09-21","MA-17560","32.16"
"CA-2014-100293","2014-03-14","NF-18475","91.056"
"CA-2015-111325","2015-02-27","BT-11395","20.451"
"CA-2017-125101","2017-03-06","SH-19975","67.78"
"CA-2017-102099","2017-12-18","EP-13915","51.989999999999995"
"CA-2017-134810","2017-05-09","MC-17605","272.23199999999997"
"CA-2016-146318","2016-01-22","MC-17275","12.96"
"CA-2017-159366","2017-01-07","BW-11110","3059.982"
"CA-2015-163055","2015-08-09","DS-13180","646.6300000000001"
"CA-2016-124506","2016-11-11","BB-11545","143.96"
"CA-2016-165015","2016-02-25","BD-11725","46.72"
"CA-2014-133424","2014-03-30","Dl-13600","60.239999999999995"
"CA-2016-159891","2016-01-31","BF-11170","1396.35"
"CA-2016-164483","2016-01-30","JF-15490","17.456"
"CA-2015-104129","2015-02-27","ES-14080","599.9"
"CA-2017-115546","2017-05-14","AH-10465","562.5500000000001"
"CA-2014-151330","2014-10-14","TC-21295","1885.27"
"CA-2014-100972","2014-11-19","DB-13360","166.44"
"CA-2017-118885","2017-12-29","JG-15160","695.944"
"CA-2017-130386","2017-11-12","NG-18430","779.1600000000001"
"CA-2015-129546","2015-09-28","RP-19855","351.916"
"CA-2016-101546","2016-12-18","GK-14620","1793.98"
"CA-2016-167290","2016-10-30","JF-15295","11.68"
"CA-2017-124674","2017-11-17","JB-16000","327.7328"
"CA-2015-129476","2015-10-15","PA-19060","339.96"
"CA-2015-161445","2015-09-07","CC-12610","140.736"
"CA-2014-123344","2014-09-24","JD-16060","211.96"
"CA-2017-138779","2017-01-14","RB-19570","29.664"
"CA-2016-107615","2016-03-22","RB-19645","58.58"
"CA-2015-135489","2015-09-19","GW-14605","279.86"
"CA-2016-121993","2016-06-10","JB-16000","23.616"
"CA-2015-105102","2015-09-15","BM-11575","139.216"
"CA-2014-107594","2014-07-02","EH-13945","79.56"
"CA-2016-166429","2016-09-02","TG-21310","999.98"
"CA-2014-146997","2014-01-23","SG-20605","5.94"
"CA-2016-124667","2016-11-11","BD-11770","143.32999999999998"
"US-2014-131870","2014-09-09","NF-18595","91.488"
"CA-2014-126907","2014-11-01","SM-20950","15.696"
"CA-2016-120530","2016-04-07","Dl-13600","658.746"
"CA-2017-107748","2017-12-10","AG-10330","108.80000000000001"
"CA-2014-162362","2014-11-14","JL-15505","24.240000000000002"
"CA-2015-142377","2015-12-04","MS-17980","85.96"
"CA-2016-166226","2016-11-18","TC-21535","129.032"
"CA-2017-117394","2017-09-04","MM-17920","19.04"
"CA-2016-148593","2016-06-16","BD-11320","46.35"
"CA-2014-137351","2014-09-30","DB-13615","43.176"
"US-2015-120712","2015-12-20","CS-12130","88.8"
"CA-2016-109827","2016-12-25","LW-16825","499.30300000000005"
"CA-2016-157707","2016-10-10","CC-12610","227.65800000000002"
"US-2017-111423","2017-08-17","EH-13765","1358.484"
"CA-2017-127705","2017-06-02","AB-10255","30.41"
"CA-2017-130505","2017-10-12","NF-18385","673.344"
"CA-2017-155957","2017-11-26","CC-12610","265.408"
"CA-2015-137225","2015-12-15","JK-15640","3.28"
"CA-2017-112984","2017-09-16","EH-14185","20.544"
"CA-2016-136049","2016-12-23","NM-18520","5.553"
"CA-2017-153654","2017-11-24","MD-17860","19.008"
"CA-2014-123260","2014-08-26","FM-14290","176.8"
"CA-2014-111500","2014-08-17","DJ-13510","484.78999999999996"
"US-2017-164056","2017-04-29","FM-14215","1048.35"
"CA-2017-105445","2017-02-20","BP-11095","9.432"
"CA-2017-132290","2017-03-10","MD-17350","933.408"
"CA-2017-162250","2017-11-24","PR-18880","7.78"
"CA-2016-145009","2016-12-05","RF-19345","11.952"
"CA-2017-105235","2017-12-05","SM-20950","334.52"
"CA-2016-140046","2016-07-28","KM-16660","18.9"
"CA-2016-159639","2016-11-27","PC-18745","31.56"
"CA-2014-128062","2014-11-19","AD-10180","5.88"
"CA-2015-115420","2015-04-25","LS-16945","21.34"
"CA-2016-101168","2016-12-25","SS-20140","21.12"
"CA-2016-110086","2016-09-18","BD-11320","239.984"
"CA-2015-111199","2015-11-13","JK-15730","115.296"
"CA-2016-163398","2016-05-03","CB-12415","55.971999999999994"
"CA-2015-164441","2015-11-08","AC-10450","70.212"
"CA-2014-115084","2014-10-18","LS-17200","605.34"
"CA-2017-111556","2017-11-20","CD-11920","1559.6680000000001"
"CA-2017-160633","2017-11-16","BS-11380","1126.2939999999999"
"CA-2015-161242","2015-06-01","CG-12040","11.76"
"CA-2017-161130","2017-11-03","BF-11275","361.376"
"CA-2016-136595","2016-09-05","EM-13825","21.204"
"CA-2017-105410","2017-03-19","ND-18370","976.828"
"CA-2014-154599","2014-04-12","KN-16450","1840.043"
"US-2017-149006","2017-12-06","BN-11470","10.68"
"CA-2016-112942","2016-02-13","RD-19810","146.82"
"CA-2016-154067","2016-02-01","SM-20950","105.52"
"CA-2017-125878","2017-02-25","MH-18025","1.788"
"CA-2015-151624","2015-09-08","VW-21775","21.36"
